,player,position,player_id,games,carries,ru_yards,xRush_yards,ru_TD,ru_xTD,fantasy_points,team_carries,team_ru_xTD,carry_share,ru_xTD_share,targets,receptions,cp,re_yards,air_yards,modeled_yards,xRec_yards,re_TD,re_xTD,team_targets,team_air_yards,team_re_xTD,target_share,air_yard_share,re_xTD_share,team_target_index,adj_target_share,adj_air_yard_share,adj_re_xTD_share,aDOT,RACR,WOPR,new_WOPR_0,new_WOPR_0.5,new_WOPR_1,BPI,xRec,opps,wOpps,xTD,OPPO,OPPO_0ppr,carries_share,targets_share,team_opps,opps_share,team_wOpps,wOpps_share,team_xTD,xTD_share,team_OPPO,OPPO_share,team_OPPO_0ppr,OPPO_0ppr_share,total_yards,TD,FP,FP_0ppr,PAO,PAO_0ppr,team,opp_share,wOpp_share,FP_pg,OPPO_pg,OPPO_0ppr_pg,PAO_pg,yards,xYards
0,A.J. Brown,WR,00-0035676,14,0,0,0.0,0,0.0,0.0,424,14.030473282900891,0.0,0.0,106,70,8.6235485,1075,1150.0,1589.8010478367796,856.2459521255491,12,5.450632710941136,410,3309.0,22.620871790102683,0.25853658536585367,4.972142537238552,0.24095590839809952,12.13691026827012,3.1378353376503236,4.138093575974398,2.8493095343301107,152.1461038961039,13.41790443477446,9.204332564761756,3.2291432795685138,3.1807326978905226,3.1432225707848613,18.68471048701196,65.17821061611176,106,212,5.450632710941136,183.50660209431348,118.32839147820174,0.0,3.815888525796514,834,1.8004811989830336,1244,2.4281796163506284,36.651345073003576,0.14871576200230452,967.926576061467,2.7111566515048304,700.1989189221657,2.399373955556759,1075,12,249.5,179.5,65.99339790568652,61.17160852179827,TEN,0.12709832134292565,0.17041800643086816,17.821428571428573,13.107614435308106,8.452027962728696,4.713814136120467,1075,856.2459521255491
1,A.J. Dillon,RB,00-0036265,9,46,242,197.88853240013123,2,0.42739681224582693,36.199999999999996,224,6.725331477285884,0.20535714285714285,0.06355029691686064,2,2,1.6174179,21,5.0,14.989281177520752,12.087103190737253,0,0.07771396194584668,281,492.0,19.209878611727618,0.0071174377224199285,0.028310467672250435,0.0040455207196573514,1.8353376503237744,0.05920444033302497,0.021354076352967433,0.02544606988953069,5.0,17.25,0.12179101158110162,0.04562265267562392,0.05028404040238239,0.053639421320603356,0.939030680333735,1.6174179315567017,48,50,0.5051107741916736,25.64564613579359,24.02822820423689,1.7153380943486687,0.06798245614035087,505,0.8495006794922212,786,0.5868185647486722,25.935210089013502,0.019475869771559906,638.5124210912116,0.38616568846066546,451.53079940856776,0.506855656539797,263,2,40.3,38.3,14.654353864206406,14.271771795763108,GB,0.09504950495049505,0.06361323155216285,4.477777777777778,2.849516237310399,2.669803133804099,1.628261540467379,263,209.97563559086848
2,A.J. Green,WR,00-0027942,16,0,0,0.0,0,0.0,0.0,379,10.150744096408028,0.0,0.0,104,47,8.963902,523,1427.0,1802.4511791486875,906.8760106560304,2,7.490478326100856,566,4614.0,28.73993721464649,0.18374558303886926,4.798436309415675,0.2606295995066944,16.75485661424607,3.0786308973172987,5.202823487459577,3.7674687258926345,224.8123654123654,5.719373676800746,7.682874247962157,3.5675576442499985,3.382318409097409,3.2462591403520302,26.87803984525427,58.79737365245819,104,208,7.490478326100856,194.42784467466637,135.63047102220818,0.0,2.8826458875807894,945,1.6991160081500545,1511,2.1113655916175107,38.89068131105452,0.19260342255746796,1178.86302560297,2.502671561895714,807.7369032475091,2.5428188056952665,523,2,111.3,64.3,-83.12784467466638,-71.33047102220819,CIN,0.11005291005291006,0.13765718067504965,6.95625,12.151740292166648,8.476904438888011,-5.195490292166649,523,906.8760106560304
3,Aaron Jones,RB,00-0033293,14,201,1104,853.4598543345928,9,6.232200094008801,164.4,350,9.611224355051545,0.5742857142857143,0.6484293638128664,63,47,10.831888,355,77.0,511.9379860301269,354.853102169688,2,3.6096269090194255,429,3462.0,30.361434827791527,0.14685314685314685,0.20078186512854418,0.11888854823538614,12.699352451433857,1.8649398704902866,0.19468521898992464,1.3097330544629593,11.508333333333333,26.68528532152346,3.2434273529653517,1.4774197634557025,1.6239331719041241,1.731504866506993,5.103084445704444,48.20644789934158,264,327,9.841827003028227,228.08870556793903,179.88225766859745,8.225820217018326,2.068586698250247,779,4.7708116879271865,1208,3.81121108842666,39.972659182843074,0.24621396735227716,982.5211645563112,3.2610336853570687,694.3759983380304,3.6293519487314896,1459,11,258.90000000000003,211.9,30.81129443206098,32.01774233140256,GB,0.33889602053915274,0.2706953642384106,18.492857142857144,16.292050397709932,12.848732690614103,2.2008067451472115,1459,1208.312956504281
4,Aaron Rodgers,QB,00-0023459,6,5,8,16.692540645599365,0,0.0034087411383783017,0.8,154,3.393876659130412,0.032467532467532464,0.001004379793593235,1,1,0.8328977,-6,-4.0,4.5895538330078125,3.822628935818102,0,0.009707257151603699,188,277.0,14.98333671153523,0.005319148936170213,-0.01444043321299639,0.000647870186627413,0.8880666049953746,0.029602220166512486,-0.012824066498128154,0.0046870489889881215,-4.0,1.5,0.03989169675090253,0.01730799645547993,0.021714376407699184,0.024915348158623937,-0.31995398401730185,0.8328977227210999,6,7,0.013115998289982,2.9631106706027386,2.1302129478816387,0.216016139657444,0.03333333333333333,342,0.10686961744342674,530,0.07999574069341511,18.377213370665643,0.0007137098549945673,434.0239444191907,0.04441085035758338,308.5410776551221,0.045399801900239484,2,0,1.2,0.19999999999999996,-1.7631106706027386,-1.930212947881639,GB,0.017543859649122806,0.013207547169811321,0.19999999999999998,0.49385177843378975,0.35503549131360645,-0.29385177843378973,2,20.515169581417467
5,Adam Humphries,WR,00-0032009,7,0,0,0.0,0,0.0,0.0,188,6.733921656979427,0.0,0.0,35,23,3.9525986,228,335.0,457.6961132804863,243.78224781203417,2,1.4106879902537912,238,2019.0,12.977894207695499,0.14705882352941177,1.227282596282805,0.10869929802766429,7.045328399629972,1.0360777058279371,1.1920185199209958,0.7591662675648715,76.71428571428572,4.599247933348356,2.434081569978436,0.9977418406962214,1.0048835108466783,1.0090859658000915,8.80548819369071,20.95210689306259,35,70,1.4106879902537912,53.79445961578876,32.84235272272617,0.0,1.0499891683869818,426,0.5658150197637473,664,0.7323911544190997,19.711815864674925,0.0715656030848914,532.2349612911187,0.7008095180282463,376.0999599297486,0.6045841633413426,228,2,57.8,34.8,4.0055403842112405,1.9576472772738347,TEN,0.08215962441314555,0.10542168674698796,8.257142857142856,7.684922802255537,4.691764674675167,0.5722200548873193,228,243.78224781203417
6,Adam Shaheen,TE,00-0033896,13,0,0,0.0,0,0.0,0.0,306,12.909995711515712,0.0,0.0,22,12,9.099093,150,95.0,189.01510645233793,130.75680227660956,3,3.0532608623616397,460,3543.0,25.701517994515598,0.04782608695652174,0.38927572701522206,0.11879690775514387,13.617021276595745,0.6512488436632747,0.38009828593502365,1.462333582763508,52.33333333333333,,1.224757510360748,0.7926144638152349,0.7593224675207703,0.7377329900461727,18.973401839610833,15.61411827802658,22,44,3.0532608623616397,47.00936367985738,31.395245401830795,0.0,0.6348430009667283,766,0.36713232722562,1226,0.46075944215629594,38.61151370603131,0.07907643522104923,999.2060871041726,0.6155276549371294,690.2575286246251,0.5912912949494572,150,3,45.0,33.0,-2.009363679857378,1.604754598169204,MIA,0.028720626631853787,0.03588907014681892,3.4615384615384617,3.6161048984505677,2.415018877063907,-0.15456643691210603,150,130.75680227660956
7,Adam Thielen,WR,00-0030035,15,3,15,12.348027229309082,0,0.12226811688216577,1.5,422,20.755705962358928,0.0071090047393364926,0.005890819474119673,108,74,9.187559,925,1239.0,1633.148377126956,881.0894854959633,14,12.159354930045083,442,3526.0,29.245547618484125,0.24434389140271492,5.124744838601205,0.4157677294563628,13.08418131359852,3.1970397779833486,4.2846840912903215,5.731170204069081,168.7586025086025,14.641908297777688,9.33833213399698,3.941840283647541,3.7088357357749793,3.5446412016459155,26.994966476096625,65.90228244662285,111,219,12.28162304692725,228.93577200071357,163.03348955409072,0.08367533544559508,3.834007164650757,864,1.9403743830951878,1306,2.5392087558978154,50.00125358084305,0.24562630268999297,1105.6409649907155,3.15000823137401,807.290986722569,3.0420175215396834,940,14,252.0,178.0,23.064227999286416,14.966510445909266,MIN,0.1284722222222222,0.16768759571209801,16.8,15.262384800047572,10.868899303606048,1.5376151999524286,940,893.4375127252724
8,Adam Trautman,TE,00-0036422,10,0,0,0.0,0,0.0,0.0,290,11.15783082351605,0.0,0.0,16,15,7.4309263,171,64.0,152.03041596419644,106.3656882914249,1,1.1361472718417645,309,1942.0,15.222462536999956,0.05177993527508091,0.3346144325579221,0.07463623372895332,9.147086031452359,0.47363552266419984,0.3504370283189679,0.7390387888974127,38.666666666666664,8.793452380952381,1.0290844187622439,0.5144924988963084,0.5058968583245538,0.5005559748383761,8.391672675947762,11.732469499111176,16,32,1.1361472718417645,29.185921959304252,17.453452460193077,0.0,0.5299028773144656,599,0.26107207056863807,908,0.3443298106996543,26.380293360516006,0.04306803022677004,712.5239529881934,0.40467464161485667,495.85956141094965,0.34164857225106054,171,1,38.1,23.1,8.914078040695749,5.646547539806923,NO,0.02671118530884808,0.03524229074889868,3.81,2.918592195930425,1.7453452460193077,0.891407804069575,171,106.3656882914249
9,Adrian Killins,RB,00-0036000,1,1,-12,4.84760856628418,0,0.004764444340582763,-1.2000000000000002,25,0.12829944722534425,0.04,0.03713534581497086,1,1,0.87986976,2,-4.0,5.379920959472656,4.733629758495681,0,0.009876679629087448,26,152.0,0.5442830347456038,0.038461538461538464,-0.02631578947368421,0.018146219886687773,0.7696577243293247,0.02960222016651249,-0.020254150640245386,0.013966378303167647,-4.0,-0.5,0.039271255060728746,0.018247264584428925,0.02256129262289129,0.025731664310640796,-0.31893744915239935,0.8798697590827942,2,3,0.014641123969670211,1.9258403353788016,1.0459705762960074,0.04,0.038461538461538464,51,0.0392156862745098,77,0.03896103896103896,0.672582481970948,0.021768518155224015,51.86287777703103,0.03713331033534964,33.966481944730845,0.03079419817448203,-10,0,0.0,-1.0,-1.9258403353788016,-2.0459705762960074,PHI,0.0392156862745098,0.03896103896103896,0.0,1.9258403353788016,1.0459705762960074,-1.9258403353788016,-10,9.58123832477986
