,player,position,player_id,games,carries,ru_yards,xRush_yards,ru_TD,ru_xTD,fantasy_points,team_carries,team_ru_xTD,carry_share,ru_xTD_share,targets,receptions,cp,re_yards,air_yards,modeled_yards,xRec_yards,re_TD,re_xTD,team_targets,team_air_yards,team_re_xTD,target_share,air_yard_share,re_xTD_share,team_target_index,adj_target_share,adj_air_yard_share,adj_re_xTD_share,aDOT,RACR,WOPR,new_WOPR_0,new_WOPR_0.5,new_WOPR_1,BPI,xRec,opps,wOpps,xTD,OPPO,OPPO_0ppr,carries_share,targets_share,team_opps,opps_share,team_wOpps,wOpps_share,team_xTD,xTD_share,team_OPPO,OPPO_share,team_OPPO_0ppr,OPPO_0ppr_share,total_yards,TD,FP,FP_0ppr,PAO,PAO_0ppr,team,opp_share,wOpp_share,FP_pg,OPPO_pg,OPPO_0ppr_pg,PAO_pg,yards,xYards
0,Amon-Ra St. Brown,WR,00-0036963,1,0,0,0.0,0,0.0,0.0,29,0.41418601299514424,0.0,0.0,9,6,0.71162766,71,60.0,101.58596301078796,66.55707537119567,1,0.2204142608679831,32,217.0,0.49273049575276673,0.28125,0.2764976958525346,0.44733228969570116,0.927536231884058,0.2608695652173913,0.25646163093568425,0.41491690638441847,6.666666666666667,1.1833333333333333,0.6154233870967742,0.2950963861777834,0.28563391685598544,0.2791789287861663,0.7171809358167507,6.404648959636688,9,18,0.2204142608679831,14.382842061964155,7.978193102327466,0.0,0.28125,61,0.14754098360655737,93,0.1935483870967742,0.906916508747911,0.2430369926469715,63.93722949919956,0.22495253821006142,41.580575689652136,0.19187307943677515,71,1,19.1,13.1,4.717157938035847,5.121806897672534,DET,0.14754098360655737,0.1935483870967742,19.1,14.382842061964155,7.978193102327466,4.717157938035847,71,66.55707537119567
1,Blake Bell,TE,00-0032062,1,0,0,0.0,0,0.0,0.0,17,0.1406654267210079,0.0,0.0,3,2,0.62062997,12,13.0,22.001543778344058,14.430925027021605,1,0.6223845251370221,37,343.0,2.2740215462399647,0.08108108108108109,0.037900874635568516,0.2736933280892253,1.0724637681159421,0.08695652173913045,0.04064731482655175,0.2935261779507634,4.333333333333333,0.9230769230769231,0.1481522338665196,0.12652386806412994,0.1165284036315651,0.10989251220802325,1.6154238121788063,1.861889898777008,3,6,0.6223845251370221,7.039289552301302,5.177399653524294,0.0,0.08108108108108109,54,0.05555555555555555,91,0.06593406593406594,2.414686972960973,0.25774956841458946,72.17512519990707,0.09753068710035802,49.00493981277253,0.10565056652053818,12,1,9.2,7.2,2.1607104476986976,2.0226003464757065,KC,0.05555555555555555,0.06593406593406594,9.2,7.039289552301302,5.177399653524294,2.1607104476986976,12,14.430925027021605
2,Brock Wright,TE,00-0036754,1,0,0,0.0,0,0.0,0.0,29,0.41418601299514424,0.0,0.0,2,2,0.81851363,17,6.0,16.81641721725464,13.719332902420263,0,0.007284533232450485,32,217.0,0.49273049575276673,0.0625,0.027649769585253458,0.014784011331227984,0.927536231884058,0.057971014492753624,0.025646163093568423,0.01371270616229842,3.0,2.8333333333333335,0.11310483870967741,0.042874904551978094,0.04783292083951928,0.0513670234371316,0.2784607425544943,1.6370272636413574,2,4,0.007284533232450485,3.0526677532780866,1.4156404896367292,0.0,0.0625,61,0.03278688524590164,93,0.043010752688172046,0.906916508747911,0.008032198291888537,63.93722949919956,0.04774476118512929,41.580575689652136,0.03404571644709165,17,0,3.7,1.7,0.6473322467219136,0.2843595103632708,DET,0.03278688524590164,0.043010752688172046,3.7,3.0526677532780866,1.4156404896367292,0.6473322467219136,17,13.719332902420263
3,Clyde Edwards-Helaire,RB,00-0036360,1,6,22,27.66953945159912,0,0.005328387639133125,2.2,17,0.1406654267210079,0.35294117647058826,0.03787986688229588,1,1,0.72417307,7,0.0,7.223185062408447,5.230836094601045,0,0.0032863393425941467,37,343.0,2.2740215462399647,0.02702702702702703,0.0,0.0014451663169278335,1.0724637681159421,0.028985507246376815,0.0,0.001549888513806662,0.0,inf,0.04054054054054054,0.018225704198395216,0.02189566053454978,0.024533812708613323,0.01971803605556488,0.7241730690002441,7,8,0.008614726981727272,4.065898985510624,3.34172591651038,0.35294117647058826,0.02702702702702703,54,0.12962962962962962,91,0.08791208791208792,2.414686972960973,0.0035676371629916053,72.17512519990707,0.056333798857280806,49.00493981277253,0.06819161352463085,29,0,3.9,2.9,-0.1658989855106241,-0.44172591651037996,KC,0.12962962962962962,0.08791208791208792,3.9,4.065898985510624,3.34172591651038,-0.1658989855106241,29,32.900375546200166
4,David Montgomery,RB,00-0035685,1,21,74,91.87095999717712,1,0.2938485942437201,13.4,29,0.41418601299514424,0.7241379310344828,0.7094604477799329,0,0,0.0,0,0.0,0.0,0.0,0,0.0,32,0.0,0.49273049575276673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.2938485942437201,10.950187565180034,10.950187565180034,0.7241379310344828,0.0,61,0.3442622950819672,93,0.22580645161290322,0.906916508747911,0.3240084301138233,63.93722949919956,0.17126465520870154,41.580575689652136,0.26334862814093096,74,1,13.4,13.4,2.4498124348199664,2.4498124348199664,DET,0.3442622950819672,0.22580645161290322,13.4,10.950187565180034,10.950187565180034,2.4498124348199664,74,91.87095999717712
5,Isiah Pacheco,RB,00-0037197,1,8,23,34.67812132835388,0,0.11908517524357987,2.3000000000000003,17,0.1406654267210079,0.47058823529411764,0.8465845376474083,4,4,0.8059126,31,-15.0,24.902597427368164,19.858923469062916,0,0.030456125270575285,37,343.0,2.2740215462399647,0.10810810810810811,-0.043731778425655975,0.01339306803004294,1.0724637681159421,0.11594202898550726,-0.04690074787679047,0.014363580206133009,-3.75,-2.066666666666667,0.13154991726420298,0.06740554555375579,0.08469503243393602,0.09723890405749043,-0.27507474066556564,3.2236504554748535,12,16,0.14954130051415515,9.574602738301463,6.350952282826611,0.47058823529411764,0.10810810810810811,54,0.2222222222222222,91,0.17582417582417584,2.414686972960973,0.06192989078446985,72.17512519990707,0.1326579304404697,49.00493981277253,0.12959820595823515,54,0,9.4,5.4,-0.17460273830146278,-0.950952282826611,KC,0.2222222222222222,0.17582417582417584,9.4,9.574602738301463,6.350952282826611,-0.17460273830146278,54,54.5370447974168
6,Jahmyr Gibbs,RB,00-0039139,1,7,42,31.389299869537354,0,0.12003712283484258,4.2,29,0.41418601299514424,0.2413793103448276,0.2898145255239458,2,2,0.877866,18,-6.0,10.564618587493896,9.274909744751653,0,0.03151703206822276,32,217.0,0.49273049575276673,0.0625,-0.027649769585253458,0.06396403782573425,0.927536231884058,0.057971014492753624,-0.025646163093568423,0.0593289626209709,-3.0,-3.0,0.07439516129032259,0.0451787915799591,0.05066726670426013,0.054789281164686815,-0.16205604665247458,1.7557320594787598,9,11,0.15155415490306534,6.7314779503260525,4.975745890847293,0.2413793103448276,0.0625,61,0.14754098360655737,93,0.11827956989247312,0.906916508747911,0.16710926909060353,63.93722949919956,0.1052826030006559,41.580575689652136,0.1196651515357824,60,0,8.0,6.0,1.2685220496739475,1.0242541091527073,DET,0.14754098360655737,0.11827956989247312,8.0,6.7314779503260525,4.975745890847293,1.2685220496739475,60,40.66420961428901
7,Jared Goff,QB,00-0033106,1,1,2,3.126258611679077,0,0.00030029591658153887,0.2,29,0.41418601299514424,0.034482758620689655,0.0007250266961213377,0,0,0.0,0,0.0,0.0,0.0,0,0.0,32,0.0,0.49273049575276673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.00030029591658153887,0.314427636667397,0.314427636667397,0.034482758620689655,0.0,61,0.01639344262295082,93,0.010752688172043012,0.906916508747911,0.0003311174884181207,63.93722949919956,0.004917755103407059,41.580575689652136,0.007561887526863808,2,0,0.2,0.2,-0.11442763666739697,-0.11442763666739697,DET,0.01639344262295082,0.010752688172043012,0.2,0.314427636667397,0.314427636667397,-0.11442763666739697,2,3.126258611679077
8,Jerick McKinnon,RB,00-0031376,1,0,0,0.0,0,0.0,0.0,17,0.1406654267210079,0.0,0.0,2,1,0.66112125,10,5.0,14.046875,9.52422578472408,0,0.03947198484092951,37,343.0,2.2740215462399647,0.05405405405405406,0.014577259475218658,0.017357788410666295,1.0724637681159421,0.05797101449275363,0.015633582625596824,0.018615599165062405,2.5,2.0,0.09128516271373414,0.042417589359289055,0.04773259445451996,0.05155486737874441,0.33225524023707426,1.3222424983978271,2,4,0.03947198484092951,2.5114969859158123,1.1892544875179851,0.0,0.05405405405405406,54,0.037037037037037035,91,0.04395604395604396,2.414686972960973,0.01634662599456011,72.17512519990707,0.03479726538692649,49.00493981277253,0.024268053222014585,10,0,2.0,1.0,-0.5114969859158123,-0.18925448751798513,KC,0.037037037037037035,0.04395604395604396,2.0,2.5114969859158123,1.1892544875179851,-0.5114969859158123,10,9.52422578472408
9,Josh Reynolds,WR,00-0033943,1,0,0,0.0,0,0.0,0.0,29,0.41418601299514424,0.0,0.0,7,4,0.64562184,80,70.0,105.95028805732727,60.52070272685104,0,0.07548651425167918,32,217.0,0.49273049575276673,0.21875,0.3225806451612903,0.15320041057405023,0.927536231884058,0.2028985507246377,0.2992052360916316,0.14209893154694514,10.0,1.1428571428571428,0.5539314516129032,0.20420535108518975,0.20163554794197736,0.19945486383799438,0.9200598693585822,4.519352853298187,7,14,0.07548651425167918,11.024342211493366,6.504989358195179,0.0,0.21875,61,0.11475409836065574,93,0.15053763440860216,0.906916508747911,0.08323424871369457,63.93722949919956,0.17242445908031379,41.580575689652136,0.15644298450187236,80,0,12.0,8.0,0.9756577885066342,1.4950106418048206,DET,0.11475409836065574,0.15053763440860216,12.0,11.024342211493366,6.504989358195179,0.9756577885066342,80,60.52070272685104
