,season,player,position,player_id,team,games,carries,ru_yards,xRush_yards,ru_TD,ru_xTD,fantasy_points,team_carries,team_ru_xTD,carry_share,ru_xTD_share,targets,receptions,cp,re_yards,air_yards,modeled_yards,xRec_yards,re_TD,re_xTD,team_targets,team_air_yards,team_re_xTD,target_share,air_yard_share,re_xTD_share,team_target_index,adj_target_share,adj_air_yard_share,adj_re_xTD_share,aDOT,RACR,WOPR,new_WOPR_0,new_WOPR_0.5,new_WOPR_1,BPI,xRec,opps,wOpps,xTD,OPPO,OPPO_0ppr,carries_share,targets_share,team_opps,opps_share,team_wOpps,wOpps_share,team_xTD,xTD_share,team_OPPO,OPPO_share,team_OPPO_0ppr,OPPO_0ppr_share,total_yards,TD,FP,FP_0ppr,PAO,PAO_0ppr,opp_share,wOpp_share,FP_pg,OPPO_pg,OPPO_0ppr_pg,PAO_pg,yards,xYards
0,2023,A.J. Brown,WR,00-0035676,PHI,12,0,0,0.0,0,0.0,0.0,318,15.27045699816416,0.0,0.0,118,81,7.254275,1164,1414.0,1861.5272075950634,928.8460575892211,7,8.23311583395116,375,3114.0,16.776591766392812,0.31466666666666665,5.379928886119475,0.49075020412929726,11.593625498007968,3.648127490039841,5.193429326648933,5.509609506657383,148.27854090354091,9.524100195905442,9.48332234883907,4.312160701541909,4.091246718048858,3.9333174054983098,19.09888369408367,71.73750114440918,118,236,8.23311583395116,214.02080190703828,142.2833007626291,0.0,3.8115814190369592,693,2.047995930104411,1068,2.640361850729323,32.047048764556976,0.25690714594152353,842.4831109772086,3.0455046044957212,592.2407821247936,2.8798416362060597,1164,7,239.4,158.4,25.37919809296174,16.11669923737092,0.17027417027417027,0.2209737827715356,19.95,17.835066825586523,11.856941730219091,2.1149331744134763,1164,928.8460575892211
1,2023,A.J. Dillon,RB,00-0036265,GB,12,149,521,610.2606104016304,1,4.472319669967306,58.1,268,7.274113480480263,0.5559701492537313,0.6148267664463254,25,20,8.324746,198,4.0,168.77020835876465,128.9224885431623,0,0.24031714559532702,395,3033.0,24.01300946692936,0.06329113924050633,-0.01062111133458085,0.010007789566163751,10.882549800796813,0.7729083665338646,0.00068677955234356,0.14391157735483928,-0.25,-31.9797619047619,1.1286971750431878,0.5093543790261806,0.6006722814729537,0.6665398883531207,0.4936944023736188,19.30878660082817,174,199,4.712636815562633,121.50291738868324,102.19413078785507,6.827887046920564,0.7574213019849296,663,3.170975546322397,1058,2.2834165587675304,31.287122947409625,0.15062544496290317,852.5452178774868,1.7479974286771127,595.3669747768437,2.1265427175271148,719,1,97.89999999999999,77.89999999999999,-23.602917388683252,-24.29413078785508,0.26244343891402716,0.1880907372400756,8.158333333333333,10.125243115723604,8.516177565654589,-1.966909782390271,719,739.1830989447927
2,2023,A.T. Perry,WR,00-0038612,NO,3,0,0,0.0,0,0.0,0.0,75,3.24330841595544,0.0,0.0,9,4,1.5348814,75,128.0,155.46549285866786,75.90580960747057,1,0.6512101772241294,106,991.0,3.709390226053074,0.08490566037735849,0.4071495535751063,0.17555720415995185,3.277131474103586,0.27824701195219126,0.42183921099792826,0.56182853127199,40.33333333333333,1.6958128078817736,0.6712581823767589,0.3650216008485111,0.3374886246885414,0.3180204822323966,5.336881561866696,4.637294262647629,9,18,0.6512101772241294,16.135136286739463,11.497842024091835,0.0,0.25750232991612304,181,0.15269510582010581,287,0.18962251201098146,6.952698642008514,0.09366293733622923,228.4702889774642,0.21250686431781055,157.7991126631103,0.22403574879950888,75,1,17.5,13.5,1.3648637132605383,2.002157975908167,0.049723756906077346,0.0627177700348432,5.833333333333333,5.378378762246488,3.8326140080306117,0.4549545710868452,75,75.90580960747057
3,2023,Aaron Jones,RB,00-0033293,GB,7,66,245,284.40106719732285,2,1.6309095877003177,36.5,165,4.486784456512307,0.4,0.3634918511258429,30,19,5.317889,169,-45.0,188.29767775535583,139.99997501751957,1,1.0482857143506408,233,2006.0,13.199724345467985,0.12875536480686695,-0.20126439054848416,0.07941724288436076,7.203505976095618,0.9274900398406375,-0.17149395473638365,0.6097684504396109,-10.8,-25.224315738025414,1.2736380546202262,0.6832989870926716,0.7766869540598713,0.8454040893294335,0.5193521573952777,22.707102835178375,96,126,2.6791953020509585,81.22237886896838,58.515276033789995,2.8676083176083176,0.9430154186694435,398,1.6761153975109628,631,1.4107974765588618,17.686508801980292,0.15148242833266104,493.42163777863846,1.1940308895770357,343.2860993794189,1.2320434376098415,414,3,78.39999999999999,59.4,-2.822378868968375,0.8847239662100035,0.24120603015075376,0.19968304278922344,11.2,11.603196981281197,8.359325147684284,-0.40319698128119796,414,424.4010422148424
4,2023,Adam Prentice,RB,00-0036727,NO,1,1,5,3.6883134841918945,0,0.0028136957402929985,0.5,17,0.012912356029590177,0.058823529411764705,0.2179072303958383,2,1,0.7999892,5,6.0,16.795060634613037,13.018352953115055,0,0.015517906518653035,38,316.0,0.9214451720472425,0.05263157894736842,0.0189873417721519,0.01684083545000921,1.1748207171314742,0.061832669322709165,0.02230672247717989,0.019784962380472972,3.0,0.8333333333333334,0.09223850766155896,0.04610945741000271,0.051407541972712946,0.05520590661581965,0.32818299840309434,1.5999784469604492,3,5,0.018331602258946034,3.3806347042448204,1.7806562572843712,0.058823529411764705,0.05263157894736842,55,0.05454545454545454,93,0.053763440860215055,0.9343575280768327,0.01961947296200156,69.72435871264481,0.04848570523505909,42.845877205343484,0.04155957056849097,10,0,2.0,1.0,-1.3806347042448204,-0.7806562572843712,0.05454545454545454,0.053763440860215055,2.0,3.3806347042448204,1.7806562572843712,-1.3806347042448204,10,16.70666643730695
5,2023,Adam Thielen,WR,00-0030035,CAR,12,1,6,4.5019755363464355,0,0.016723308311195395,0.6000000000000001,277,6.602276247126788,0.0036101083032490976,0.0025329610099960797,106,80,8.2467985,753,772.0,1219.8363254922442,763.3437475347057,4,4.844661862123758,398,2759.0,14.23277068277821,0.2663316582914573,3.396314876392021,0.3403878253997196,12.304701195219124,3.277131474103586,3.486314053959771,3.915396978930174,86.40809468309467,11.82237076256875,7.1644290282182235,3.4545769260417485,3.4002079387456523,3.3620906378770243,10.996464788397939,71.80698877573013,107,213,4.8613851704349536,177.75987210544508,105.95288332971494,0.034482758620689655,3.191339076495873,675,1.9299744731128299,1073,2.389416882145608,20.835046929904998,0.23332729639582914,800.7053935583551,2.6485832903024114,529.1205038484056,2.380724307573332,759,4,179.9,99.89999999999999,2.140127894554918,-6.052883329714941,0.15851851851851853,0.19850885368126747,14.991666666666667,14.813322675453756,8.829406944142912,0.17834399121291078,759,767.8457230710521
6,2023,Adam Trautman,TE,00-0036422,DEN,11,0,0,0.0,0,0.0,0.0,238,5.897061211692172,0.0,0.0,25,17,6.659768,131,175.0,272.9044543048367,158.10560661457293,2,2.3952891007065773,300,2111.0,15.660283581120893,0.08333333333333333,1.191659430038868,0.1529531115001133,9.274900398406375,0.7729083665338646,0.9776650302614329,1.377426536424512,80.5,7.1799459616797074,2.1978860590404588,0.9420110290263971,0.8900744340181516,0.8536408134698451,15.369682031922903,16.081979781389236,25,50,2.3952891007065773,46.264275047085995,30.18229526569676,0.0,0.9091496386755007,538,0.5185881161739347,838,0.6577073761811536,21.557344792813065,0.11111243632866767,633.3698980149521,0.806358783774269,433.16845732300413,0.7784238859452903,131,2,42.1,25.1,-4.1642750470859955,-5.082295265696759,0.046468401486988845,0.059665871121718374,3.8272727272727276,4.205843186098726,2.743845024154251,-0.3785704588259988,131,158.10560661457293
7,2023,Aidan O'Connell,QB,00-0038579,LV,3,6,9,14.462288200855255,1,1.0094063652415857,6.9,71,2.045389650882846,0.08450704225352113,0.4935032133392766,0,0,0.0,0,0.0,0.0,0.0,0,0.0,101,0.0,5.096151028526947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,1.0094063652415857,7.502667011535041,7.502667011535041,0.2554347826086957,0.0,172,0.10278656568561659,273,0.06556283942286063,7.141540679409793,0.14134294132803388,220.6757728389302,0.08652850605643618,150.2200981906453,0.12376318786293321,9,1,6.8999999999999995,6.8999999999999995,-0.6026670115350413,-0.6026670115350413,0.03488372093023256,0.02197802197802198,2.3,2.5008890038450136,2.5008890038450136,-0.20088900384501374,9,14.462288200855255
8,2023,Albert Okwuegbunam,TE,00-0036423,PHI,1,0,0,0.0,0,0.0,0.0,13,1.0709312723755868,0.0,0.0,1,0,0.60837847,0,10.0,14.3263840675354,8.71586361883729,0,0.008517731912434101,42,299.0,2.9445817582309246,0.023809523809523808,0.033444816053511704,0.0028926797120252044,1.2984860557768925,0.030916334661354582,0.04342762728350811,0.003756104269893445,10.0,0.0,0.059125656951743905,0.02672011828342745,0.02760618003340975,0.028157558719265383,0.9898706542983886,0.6083784699440002,1,2,0.008517731912434101,1.5310712233023338,0.9226927533583336,0.0,0.023809523809523808,55,0.01818181818181818,97,0.020618556701030927,4.015513030606511,0.0021212063931834793,81.656220214487,0.018750209344501344,55.11084558260529,0.01674248949737698,0,0,0.0,0.0,-1.5310712233023338,-0.9226927533583336,0.01818181818181818,0.020618556701030927,0.0,1.5310712233023338,0.9226927533583336,-1.5310712233023338,0,8.71586361883729
9,2023,Alec Ingold,RB,00-0035125,MIA,7,2,0,6.535693645477295,0,0.0005763800662548224,0.0,177,5.927881460087454,0.011299435028248588,9.723204995504736e-05,11,9,4.7207594,76,32.0,97.07435297966003,74.01293707633461,0,0.16224859678186476,244,1769.0,12.550468197092414,0.045081967213114756,0.12334027474655088,0.012927692754876917,6.67792828685259,0.3400796812749004,0.14337455295633125,0.12073446271972658,23.5,16.61111111111111,0.5389406878662576,0.25954429496581854,0.2865498340288842,0.30589004991553675,2.6316885209134777,8.848680913448334,13,24,0.16282497684811958,17.88049384671824,9.031812933269908,0.047619047619047616,0.30173499702911466,421,0.21206859382674872,665,0.24742805165590878,18.47834965717987,0.008811662289594839,539.6217233788884,0.23329880819793689,375.95788260816704,0.17374533505267672,76,0,16.6,7.6,-1.280493846718243,-1.4318129332699088,0.030878859857482184,0.03609022556390978,2.3714285714285714,2.5543562638168917,1.2902589904671298,-0.1829276923883203,76,80.5486307218119
